M, N, B, Name, Result, Time
4, 3, 3.000000, DPm, 3.000000, 0.403000
4, 3, 3.000000, PDP, 3.000000, 0.249900
4, 3, 3.000000, BB_DP, 3.000000, 21.527200
4, 3, 3.000000, DPm, 2.000000, 0.137800
4, 3, 3.000000, PDP, 2.000000, 0.053100
4, 3, 3.000000, BB_DP, 2.000000, 19.109600
4, 3, 3.000000, DPm, 0.000000, 0.103100
4, 3, 3.000000, PDP, 0.000000, 0.041600
4, 3, 3.000000, BB_DP, 0.000000, 16.234000
4, 3, 3.000000, DPm, 0.000000, 0.237000
4, 3, 3.000000, PDP, 0.000000, 0.039500
4, 3, 3.000000, BB_DP, 0.000000, 19.015600
4, 3, 3.000000, DPm, 0.000000, 0.304300
4, 3, 3.000000, PDP, 0.000000, 0.058700
4, 3, 3.000000, BB_DP, 0.000000, 17.195500
4, 3, 5.000000, DPm, 1.000000, 0.434300
4, 3, 5.000000, PDP, 1.000000, 0.260500
4, 3, 5.000000, BB_DP, 1.000000, 16.402000
4, 3, 5.000000, DPm, 0.000000, 0.120200
4, 3, 5.000000, PDP, 0.000000, 0.041600
4, 3, 5.000000, BB_DP, 0.000000, 18.035400
4, 3, 5.000000, DPm, 0.000000, 0.251000
4, 3, 5.000000, PDP, 0.000000, 0.042300
4, 3, 5.000000, BB_DP, 0.000000, 15.517000
4, 3, 5.000000, DPm, 0.000000, 0.376900
4, 3, 5.000000, PDP, 0.000000, 0.044200
4, 3, 5.000000, BB_DP, 0.000000, 17.958000
4, 3, 5.000000, DPm, 0.000000, 0.251500
4, 3, 5.000000, PDP, 0.000000, 0.036400
4, 3, 5.000000, BB_DP, 0.000000, 16.797700
4, 3, 7.000000, DPm, 0.000000, 0.303600
4, 3, 7.000000, PDP, 0.000000, 0.052200
4, 3, 7.000000, BB_DP, 0.000000, 14.343100
4, 3, 7.000000, DPm, 1.000000, 0.329300
4, 3, 7.000000, PDP, 1.000000, 0.065000
4, 3, 7.000000, BB_DP, 1.000000, 20.281700
4, 3, 7.000000, DPm, 1.000000, 0.111000
4, 3, 7.000000, PDP, 1.000000, 0.049800
4, 3, 7.000000, BB_DP, 1.000000, 18.144100
4, 3, 7.000000, DPm, 0.000000, 0.103500
4, 3, 7.000000, PDP, 0.000000, 0.064400
4, 3, 7.000000, BB_DP, 0.000000, 17.444100
4, 3, 7.000000, DPm, 2.000000, 0.399800
4, 3, 7.000000, PDP, 2.000000, 0.074000
4, 3, 7.000000, BB_DP, 2.000000, 18.628100
4, 4, 3.000000, DPm, 1.000000, 0.132100
4, 4, 3.000000, PDP, 1.000000, 0.089100
4, 4, 3.000000, BB_DP, 1.000000, 20.284700
4, 4, 3.000000, DPm, 0.000000, 0.143800
4, 4, 3.000000, PDP, 0.000000, 0.082200
4, 4, 3.000000, BB_DP, 0.000000, 33.349500
4, 4, 3.000000, DPm, 0.000000, 0.472000
4, 4, 3.000000, PDP, 0.000000, 0.103200
4, 4, 3.000000, BB_DP, 0.000000, 19.169400
4, 4, 3.000000, DPm, 3.000000, 0.348100
4, 4, 3.000000, PDP, 3.000000, 0.085100
4, 4, 3.000000, BB_DP, 3.000000, 24.172800
4, 4, 3.000000, DPm, 0.000000, 0.131500
4, 4, 3.000000, PDP, 0.000000, 0.086600
4, 4, 3.000000, BB_DP, 0.000000, 20.692500
4, 4, 5.000000, DPm, 0.000000, 0.243900
4, 4, 5.000000, PDP, 0.000000, 0.064100
4, 4, 5.000000, BB_DP, 0.000000, 21.065800
4, 4, 5.000000, DPm, 0.000000, 0.290000
4, 4, 5.000000, PDP, 0.000000, 0.095000
4, 4, 5.000000, BB_DP, 0.000000, 22.045300
4, 4, 5.000000, DPm, 2.000000, 0.342800
4, 4, 5.000000, PDP, 2.000000, 0.161000
