M, N, B, Name, Result, Time, OPT_RATE
2, 12, 3.000000, PDP, 2.000000, 0.385000, 1.000000
2, 12, 3.000000, BB_DP, 2.000000, 26.599600, 1.000000
2, 12, 3.000000, TABU, 3.000000, 6.069000, 1.500000
2, 12, 3.000000, GA, 3.000000, 16.642900, 1.500000
2, 12, 3.000000, PDP, 4.000000, 1.380900, 1.000000
2, 12, 3.000000, BB_DP, 4.000000, 38.597100, 1.000000
2, 12, 3.000000, TABU, 4.000000, 4.108500, 1.000000
2, 12, 3.000000, GA, 4.000000, 9.690800, 1.000000
2, 12, 3.000000, PDP, 12.000000, 0.388000, 1.000000
2, 12, 3.000000, BB_DP, 12.000000, 30.341500, 1.000000
2, 12, 3.000000, TABU, 13.000000, 2.550200, 1.083333
2, 12, 3.000000, GA, 14.000000, 8.764000, 1.166667
2, 12, 3.000000, PDP, 13.000000, 0.493000, 1.000000
2, 12, 3.000000, BB_DP, 13.000000, 4.243400, 1.000000
2, 12, 3.000000, TABU, 13.000000, 3.175300, 1.000000
2, 12, 3.000000, GA, 13.000000, 7.947300, 1.000000
2, 12, 3.000000, PDP, 8.000000, 0.453900, 1.000000
2, 12, 3.000000, BB_DP, 8.000000, 44.653600, 1.000000
2, 12, 3.000000, TABU, 9.000000, 5.970900, 1.125000
2, 12, 3.000000, GA, 9.000000, 22.465100, 1.125000
2, 12, 5.000000, PDP, 17.000000, 0.886500, 1.000000
2, 12, 5.000000, BB_DP, 17.000000, 10.519900, 1.000000
2, 12, 5.000000, TABU, 17.000000, 3.850600, 1.000000
2, 12, 5.000000, GA, 17.000000, 12.463600, 1.000000
2, 12, 5.000000, PDP, 13.000000, 0.740000, 1.000000
2, 12, 5.000000, BB_DP, 13.000000, 238.574600, 1.000000
2, 12, 5.000000, TABU, 13.000000, 2.763700, 1.000000
2, 12, 5.000000, GA, 14.000000, 10.341200, 1.076923
2, 12, 5.000000, PDP, 15.000000, 0.387900, 1.000000
2, 12, 5.000000, BB_DP, 15.000000, 22.943500, 1.000000
2, 12, 5.000000, TABU, 15.000000, 4.918300, 1.000000
2, 12, 5.000000, GA, 16.000000, 11.594200, 1.066667
2, 12, 5.000000, PDP, 18.000000, 0.378600, 1.000000
2, 12, 5.000000, BB_DP, 18.000000, 7.704800, 1.000000
2, 12, 5.000000, TABU, 18.000000, 4.520900, 1.000000
2, 12, 5.000000, GA, 18.000000, 10.889800, 1.000000
2, 12, 5.000000, PDP, 18.000000, 0.478900, 1.000000
2, 12, 5.000000, BB_DP, 18.000000, 7.049100, 1.000000
2, 12, 5.000000, TABU, 19.000000, 5.214200, 1.055556
2, 12, 5.000000, GA, 19.000000, 13.366300, 1.055556
2, 12, 7.000000, PDP, 31.000000, 0.478900, 1.000000
2, 12, 7.000000, BB_DP, 31.000000, 3.375600, 1.000000
2, 12, 7.000000, TABU, 31.000000, 2.246700, 1.000000
2, 12, 7.000000, GA, 31.000000, 10.890700, 1.000000
2, 12, 7.000000, PDP, 22.000000, 0.539000, 1.000000
2, 12, 7.000000, BB_DP, 22.000000, 4.201900, 1.000000
2, 12, 7.000000, TABU, 22.000000, 3.331700, 1.000000
2, 12, 7.000000, GA, 22.000000, 11.904700, 1.000000
2, 12, 7.000000, PDP, 18.000000, 0.843100, 1.000000
2, 12, 7.000000, BB_DP, 18.000000, 9.200100, 1.000000
2, 12, 7.000000, TABU, 18.000000, 4.210300, 1.000000
2, 12, 7.000000, GA, 18.000000, 9.875100, 1.000000
2, 12, 7.000000, PDP, 15.000000, 0.501500, 1.000000
2, 12, 7.000000, BB_DP, 15.000000, 6.565200, 1.000000
2, 12, 7.000000, TABU, 15.000000, 6.676700, 1.000000
2, 12, 7.000000, GA, 17.000000, 21.241200, 1.133333
2, 12, 7.000000, PDP, 20.000000, 0.793400, 1.000000
2, 12, 7.000000, BB_DP, 20.000000, 5.307000, 1.000000
2, 12, 7.000000, TABU, 20.000000, 4.861700, 1.000000
2, 12, 7.000000, GA, 20.000000, 13.125400, 1.000000
2, 14, 3.000000, PDP, 11.000000, 2.329800, 1.000000
2, 14, 3.000000, BB_DP, 11.000000, 357.428100, 1.000000
2, 14, 3.000000, TABU, 11.000000, 4.246100, 1.000000
2, 14, 3.000000, GA, 11.000000, 13.144300, 1.000000
2, 14, 3.000000, PDP, 16.000000, 2.624000, 1.000000
2, 14, 3.000000, BB_DP, 16.000000, 552.623200, 1.000000
