M, N, B, Name, Result, Time, OPT_Rate, Nodes,Timeout
5, 9, 3.000000, BB_DP, 0.000000, 1.943098, 1.000000, 7522, 1
5, 9, 3.000000, PDP, 0.000000, 0.173954, 1.000000, 0, 1
5, 9, 3.000000, TABU, 2.000000, 2.033700, inf, 0, 1
5, 9, 3.000000, GA, 1.000000, 9.159300, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002631, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.178472, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.383900, 1.000000, 0, 1
5, 9, 3.000000, GA, 0.000000, 9.155500, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 1.540369, 1.000000, 12409, 1
5, 9, 3.000000, PDP, 0.000000, 0.183892, 1.000000, 0, 1
5, 9, 3.000000, TABU, 1.000000, 3.114700, inf, 0, 1
5, 9, 3.000000, GA, 2.000000, 6.630800, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002109, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.163634, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.053200, 1.000000, 0, 1
5, 9, 3.000000, GA, 0.000000, 6.894500, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.288623, 1.000000, 7125, 1
5, 9, 3.000000, PDP, 0.000000, 0.176640, 1.000000, 0, 1
5, 9, 3.000000, TABU, 2.000000, 2.073500, inf, 0, 1
5, 9, 3.000000, GA, 2.000000, 6.575300, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.386031, 1.000000, 3462, 1
5, 9, 3.000000, PDP, 0.000000, 0.171108, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.110000, 1.000000, 0, 1
5, 9, 3.000000, GA, 2.000000, 6.566600, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.003299, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.178004, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.128900, 1.000000, 0, 1
5, 9, 3.000000, GA, 1.000000, 7.148100, inf, 0, 1
5, 9, 3.000000, BB_DP, 1.000000, 0.631476, 1.000000, 17423, 1
5, 9, 3.000000, PDP, 1.000000, 0.195418, 1.000000, 0, 1
5, 9, 3.000000, TABU, 2.000000, 2.455400, 2.000000, 0, 1
5, 9, 3.000000, GA, 2.000000, 8.768600, 2.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.003938, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.195969, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 6.455800, 1.000000, 0, 1
5, 9, 3.000000, GA, 1.000000, 12.262800, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.538197, 1.000000, 6295, 1
5, 9, 3.000000, PDP, 0.000000, 0.189844, 1.000000, 0, 1
5, 9, 3.000000, TABU, 1.000000, 2.697500, inf, 0, 1
5, 9, 3.000000, GA, 2.000000, 8.020400, inf, 0, 1
5, 9, 3.000000, BB_DP, 1.000000, 0.403435, 1.000000, 2251, 1
5, 9, 3.000000, PDP, 1.000000, 0.195353, 1.000000, 0, 1
5, 9, 3.000000, TABU, 1.000000, 3.878400, 1.000000, 0, 1
5, 9, 3.000000, GA, 3.000000, 8.182200, 3.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002489, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.190289, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 2.663700, 1.000000, 0, 1
5, 9, 3.000000, GA, 0.000000, 7.802300, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002638, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.189024, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.612700, 1.000000, 0, 1
5, 9, 3.000000, GA, 0.000000, 8.287500, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.003412, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.183558, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 2.574000, 1.000000, 0, 1
5, 9, 3.000000, GA, 0.000000, 7.663000, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.003821, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.191939, 1.000000, 0, 1
5, 9, 3.000000, TABU, 2.000000, 4.074100, inf, 0, 1
5, 9, 3.000000, GA, 4.000000, 7.793300, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 2.019287, 1.000000, 27722, 1
5, 9, 3.000000, PDP, 0.000000, 0.189612, 1.000000, 0, 1
5, 9, 3.000000, TABU, 2.000000, 2.332500, inf, 0, 1
5, 9, 3.000000, GA, 2.000000, 7.801000, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.201549, 1.000000, 1191, 1
5, 9, 3.000000, PDP, 0.000000, 0.192010, 1.000000, 0, 1
5, 9, 3.000000, TABU, 1.000000, 2.380700, inf, 0, 1
5, 9, 3.000000, GA, 1.000000, 7.704100, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002345, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.192814, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.755700, 1.000000, 0, 1
5, 9, 3.000000, GA, 0.000000, 7.583500, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.003506, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.187459, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.547500, 1.000000, 0, 1
5, 9, 3.000000, GA, 0.000000, 10.327600, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.768716, 1.000000, 4653, 1
5, 9, 3.000000, PDP, 0.000000, 0.191844, 1.000000, 0, 1
5, 9, 3.000000, TABU, 1.000000, 2.455200, inf, 0, 1
5, 9, 3.000000, GA, 1.000000, 7.750000, inf, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.258254, 1.000000, 1923, 1
5, 9, 5.000000, PDP, 0.000000, 0.188766, 1.000000, 0, 1
5, 9, 5.000000, TABU, 1.000000, 3.621500, inf, 0, 1
5, 9, 5.000000, GA, 1.000000, 7.432700, inf, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.002276, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.190904, 1.000000, 0, 1
5, 9, 5.000000, TABU, 0.000000, 2.868600, 1.000000, 0, 1
5, 9, 5.000000, GA, 0.000000, 8.109500, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.002553, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.192084, 1.000000, 0, 1
5, 9, 5.000000, TABU, 0.000000, 2.409300, 1.000000, 0, 1
5, 9, 5.000000, GA, 0.000000, 8.217200, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.636337, 1.000000, 6402, 1
5, 9, 5.000000, PDP, 0.000000, 0.198674, 1.000000, 0, 1
5, 9, 5.000000, TABU, 2.000000, 2.341500, inf, 0, 1
5, 9, 5.000000, GA, 2.000000, 7.753800, inf, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.002418, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.191594, 1.000000, 0, 1
5, 9, 5.000000, TABU, 0.000000, 2.825700, 1.000000, 0, 1
5, 9, 5.000000, GA, 0.000000, 8.492400, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.004203, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.184280, 1.000000, 0, 1
5, 9, 5.000000, TABU, 0.000000, 2.964400, 1.000000, 0, 1
5, 9, 5.000000, GA, 1.000000, 9.929700, inf, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.002385, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.185686, 1.000000, 0, 1
5, 9, 5.000000, TABU, 0.000000, 2.269200, 1.000000, 0, 1
5, 9, 5.000000, GA, 0.000000, 7.550000, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.003548, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.192810, 1.000000, 0, 1
5, 9, 5.000000, TABU, 0.000000, 3.721700, 1.000000, 0, 1
