M, N, B, Name, Result, Time, OPT_Rate, Nodes,Timeout
2, 3, 3.000000, BB_DP, 1.000000, 0.003337, 1.000000, 3, 1
2, 3, 3.000000, PDP, 1.000000, 0.000055, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.024833, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 3.000000, 0.002451, 1.000000, 3, 1
2, 3, 3.000000, PDP, 3.000000, 0.000029, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 3.000000, 0.095003, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 1.000000, 0.003231, 1.000000, 1, 1
2, 3, 3.000000, PDP, 1.000000, 0.000087, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.040767, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.002830, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000035, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.070789, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 1.000000, 0.002430, 1.000000, 0, 1
2, 3, 3.000000, PDP, 1.000000, 0.000064, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.033914, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.004514, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000077, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.040194, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.005633, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000075, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.035821, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.005264, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000077, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.067513, 1.000000, 0, 1
