M, N, B, Name, Result, Time, OPT_Rate, Nodes,Timeout
2, 3, 3.000000, BB_DP, 1.000000, 0.002065, 1.000000, 3, 1
2, 3, 3.000000, PDP, 1.000000, 0.000035, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.028706, 1.000000, 0, 1
2, 3, 3.000000, TABU, 1.000000, 2.003300, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 3.000000, 0.002032, 1.000000, 3, 1
2, 3, 3.000000, PDP, 3.000000, 0.000019, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 3.000000, 0.021875, 1.000000, 0, 1
2, 3, 3.000000, TABU, 3.000000, 2.309500, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 1.000000, 0.002163, 1.000000, 1, 1
2, 3, 3.000000, PDP, 1.000000, 0.000052, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.018942, 1.000000, 0, 1
2, 3, 3.000000, TABU, 1.000000, 2.519700, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.002301, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000039, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.011993, 1.000000, 0, 1
2, 3, 3.000000, TABU, 0.000000, 2.961000, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 1.000000, 0.003571, 1.000000, 0, 1
2, 3, 3.000000, PDP, 1.000000, 0.000066, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.011335, 1.000000, 0, 1
2, 3, 3.000000, TABU, 1.000000, 2.764400, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.004244, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000072, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.012463, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.455700, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003652, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000056, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.012278, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 5.101700, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003203, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000054, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.020073, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 4.912900, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.004310, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000051, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.022675, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 4.865800, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003466, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000056, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.018605, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.548000, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.003205, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000072, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.024183, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 4.403100, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.005233, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000185, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.028479, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 3.178500, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.003047, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000115, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.015288, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 4.661000, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.004287, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000110, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.040340, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 26.887300, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.008988, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000185, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.051444, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 5.071300, 1.000000, 0, 1
2, 3, 5.000000, BB_DP, 0.000000, 0.003894, 1.000000, 0, 1
2, 3, 5.000000, PDP, 0.000000, 0.000206, 1.000000, 0, 1
2, 3, 5.000000, MODEL1, 0.000000, 0.017837, 1.000000, 0, 1
2, 3, 5.000000, TABU, 0.000000, 2.928400, 1.000000, 0, 1
2, 3, 5.000000, BB_DP, 5.000000, 0.002923, 1.000000, 5, 1
2, 3, 5.000000, PDP, 5.000000, 0.000041, 1.000000, 0, 1
2, 3, 5.000000, MODEL1, 5.000000, 0.026331, 1.000000, 0, 1
2, 3, 5.000000, TABU, 5.000000, 2.827900, 1.000000, 0, 1
2, 3, 5.000000, BB_DP, 0.000000, 0.003225, 1.000000, 0, 1
2, 3, 5.000000, PDP, 0.000000, 0.000057, 1.000000, 0, 1
2, 3, 5.000000, MODEL1, 0.000000, 0.020879, 1.000000, 0, 1
2, 3, 5.000000, TABU, 0.000000, 3.172600, 1.000000, 0, 1
2, 3, 5.000000, BB_DP, 1.000000, 0.003806, 1.000000, 1, 1
2, 3, 5.000000, PDP, 1.000000, 0.000095, 1.000000, 0, 1
2, 3, 5.000000, MODEL1, 1.000000, 0.018426, 1.000000, 0, 1
2, 3, 5.000000, TABU, 1.000000, 2.898400, 1.000000, 0, 1
2, 3, 5.000000, BB_DP, 1.000000, 0.003874, 1.000000, 0, 1
2, 3, 5.000000, PDP, 1.000000, 0.000063, 1.000000, 0, 1
2, 3, 5.000000, MODEL1, 1.000000, 0.022449, 1.000000, 0, 1
2, 3, 5.000000, TABU, 1.000000, 3.002000, 1.000000, 0, 1
3, 3, 5.000000, BB_DP, 0.000000, 0.005599, 1.000000, 0, 1
