,列标签,,,,,,,,,
, BB_DP,, GA,, PDP,, TABU,,Time汇总,Nodes汇总
行标签,Time,Nodes,Time,Nodes,Time,Nodes,Time,Nodes,,
2,0.002899557,14.53436807,11.24746711,0,1.768301778,0,2.668514667,0,3.919619822,3.639644642
12,0.004183333,7.483333333,13.95825167,0,0.00109,0,3.897681667,0,4.465301667,1.870833333
3,0.004065,7.75,14.02112,0,0.00101,0,3.720605,0,4.4367,1.9375
5,0.004505,8.35,14.778425,0,0.001205,0,4.157515,0,4.7354125,2.0875
7,0.00398,6.35,13.07521,0,0.001055,0,3.814925,0,4.2237925,1.5875
14,0.003065,8.95,11.64803333,0,0.00318,0,2.876908333,0,3.632796667,2.2375
3,0.003825,12.5,15.50632,0,0.00375,0,3.444285,0,4.739545,3.125
5,0.003375,7.45,12.017235,0,0.003495,0,3.277035,0,3.825285,1.8625
7,0.001995,6.9,7.420545,0,0.002295,0,1.909405,0,2.33356,1.725
16,0.002123333,10.16666667,8.445475,0,0.009415,0,2.193156667,0,2.6625425,2.541666667
3,0.00211,11.3,7.921795,0,0.00916,0,1.952165,0,2.4713075,2.825
5,0.002285,10.3,9.0745,0,0.009605,0,2.651775,0,2.93454125,2.575
7,0.001975,8.9,8.34013,0,0.00948,0,1.97553,0,2.58177875,2.225
18,0.002258333,15.63333333,9.242463333,0,0.042188333,0,2.148823333,0,2.858933333,3.908333333
3,0.002135,12.25,9.1354,0,0.0422,0,2.248645,0,2.857095,3.0625
5,0.00236,16.65,8.723805,0,0.04133,0,2.00884,0,2.69408375,4.1625
7,0.00228,18,9.868185,0,0.043035,0,2.188985,0,3.02562125,4.5
20,0.002291667,13.61666667,9.516153333,0,0.170293333,0,2.153638333,0,2.960594167,3.404166667
3,0.00244,13.6,9.470105,0,0.17523,0,2.22136,0,2.96728375,3.4
5,0.00219,13.9,9.579035,0,0.167895,0,2.128215,0,2.96933375,3.475
7,0.002245,13.35,9.49932,0,0.167755,0,2.11134,0,2.945165,3.3375
22,0.002606667,16.61666667,10.64874167,0,0.794555,0,2.341383333,0,3.446821667,4.154166667
3,0.00235,18.45,10.247925,0,0.74241,0,2.213405,0,3.3015225,4.6125
5,0.002825,16.85,10.926005,0,0.810735,0,2.346105,0,3.5214175,4.2125
7,0.002645,14.55,10.772295,0,0.83052,0,2.46464,0,3.517525,3.6375
24,0.003503333,20.81666667,14.280965,0,4.165205,0,3.018116667,0,5.3669475,5.204166667
3,0.003295,23.45,12.88071,0,3.871425,0,2.668445,0,4.85596875,5.8625
5,0.00382,19.15,15.833625,0,4.45376,0,3.38098,0,5.91804625,4.7875
7,0.003395,19.85,14.12856,0,4.17043,0,3.004925,0,5.3268275,4.9625
26,0.003412903,30.90322581,13.23184,0,16.15267333,0,2.768303333,0,7.972647107,7.917355372
3,0.00343,31.3,13.39984,0,16.46113,0,2.76429,0,8.1571725,7.825
5,0.003381818,30.18181818,12.89584,0,15.53576,0,2.77633,0,7.612597561,8.097560976
总计,0.002899557,14.53436807,11.24746711,0,1.768301778,0,2.668514667,0,3.919619822,3.639644642
