,列标签,,,
, BB_DP,,Time汇总,Nodes汇总
行标签,Time,Nodes,,
2,0.017471681,893.2448378,0.017471681,893.2448378
12,0.004233333,92.18888889,0.004233333,92.18888889
3,0.005613333,251.8666667,0.005613333,251.8666667
5,0.003443333,23.6,0.003443333,23.6
7,0.003643333,1.1,0.003643333,1.1
14,0.00629,195.5333333,0.00629,195.5333333
3,0.011633333,515.4666667,0.011633333,515.4666667
5,0.00398,69.73333333,0.00398,69.73333333
7,0.003256667,1.4,0.003256667,1.4
16,0.005908889,276.4777778,0.005908889,276.4777778
3,0.013023333,785.2,0.013023333,785.2
5,0.00261,42.63333333,0.00261,42.63333333
7,0.002093333,1.6,0.002093333,1.6
18,0.010777778,879.6333333,0.010777778,879.6333333
3,0.026923333,2545.466667,0.026923333,2545.466667
5,0.003266667,90.96666667,0.003266667,90.96666667
7,0.002143333,2.466666667,0.002143333,2.466666667
20,0.012618889,727.2111111,0.012618889,727.2111111
3,0.031226667,2097.466667,0.031226667,2097.466667
5,0.00354,82.13333333,0.00354,82.13333333
7,0.00309,2.033333333,0.00309,2.033333333
22,0.017507778,958.2888889,0.017507778,958.2888889
3,0.046046667,2766.3,0.046046667,2766.3
5,0.003996667,106,0.003996667,106
7,0.00248,2.566666667,0.00248,2.566666667
24,0.030155556,1513.144444,0.030155556,1513.144444
3,0.083016667,4409.333333,0.083016667,4409.333333
5,0.004823333,127.5,0.004823333,127.5
7,0.002626667,2.6,0.002626667,2.6
26,0.082739583,3912.4375,0.082739583,3912.4375
3,0.12891,6165.9,0.12891,6165.9
5,0.005788889,156.6666667,0.005788889,156.6666667
总计,0.017471681,893.2448378,0.017471681,893.2448378
