,列标签,,,
, BB_DP,,Time汇总,Nodes汇总
行标签,Time,Nodes,,
2,4.451046389,353479.3944,4.451046389,353479.3944
12,0.00995,781.5,0.00995,781.5
2,0.017385,1749.95,0.017385,1749.95
6,0.005955,247.55,0.005955,247.55
9,0.00651,347,0.00651,347
14,0.039901667,3495.35,0.039901667,3495.35
2,0.07414,4810.65,0.07414,4810.65
6,0.03523,4667.1,0.03523,4667.1
9,0.010335,1008.3,0.010335,1008.3
16,0.147286667,17484.36667,0.147286667,17484.36667
2,0.414095,49700.5,0.414095,49700.5
6,0.010135,743.6,0.010135,743.6
9,0.01763,2009,0.01763,2009
18,0.601726667,56237.26667,0.601726667,56237.26667
2,1.463965,124248.95,1.463965,124248.95
6,0.2074,27097.95,0.2074,27097.95
9,0.133815,17364.9,0.133815,17364.9
20,6.547598305,702279.2881,6.547598305,702279.2881
2,19.57492632,2096430.263,19.57492632,2096430.263
6,0.4092,45541.2,0.4092,45541.2
9,0.310035,34573.95,0.310035,34573.95
22,18.10664035,1336602.456,18.10664035,1336602.456
2,51.18861765,3812588.353,51.18861765,3812588.353
6,7.34297,508685.8,7.34297,508685.8
9,0.75063,59931.1,0.75063,59931.1
24,34.0145,1237963.75,34.0145,1237963.75
2,34.0145,1237963.75,34.0145,1237963.75
总计,4.451046389,353479.3944,4.451046389,353479.3944
