M, N, B, Name, Time, OPT_Rate, Nodes,Timeout
5, 9, 3.0000, BB_DP, 3.1343, 1.0000, 7522,1
5, 9, 3.0000, PDP, 0.3261, 1.0000, 0,1
5, 9, 3.0000, TABU, 5.7018, inf, 0,1
5, 9, 3.0000, GA, 17.2819, inf, 0,1
5, 9, 3.0000, BB_DP, 0.0068, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.3926, 1.0000, 0,1
5, 9, 3.0000, TABU, 6.6416, 1.0000, 0,1
5, 9, 3.0000, GA, 16.7395, 1.0000, 0,1
5, 9, 3.0000, BB_DP, 1.8304, 1.0000, 12409,1
5, 9, 3.0000, PDP, 0.1816, 1.0000, 0,1
5, 9, 3.0000, TABU, 3.4208, inf, 0,1
5, 9, 3.0000, GA, 7.3395, inf, 0,1
5, 9, 3.0000, BB_DP, 0.0023, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.1754, 1.0000, 0,1
5, 9, 3.0000, TABU, 3.2917, 1.0000, 0,1
5, 9, 3.0000, GA, 7.4698, 1.0000, 0,1
5, 9, 3.0000, BB_DP, 0.3082, 1.0000, 7125,1
5, 9, 3.0000, PDP, 0.1775, 1.0000, 0,1
5, 9, 3.0000, TABU, 2.1407, inf, 0,1
5, 9, 3.0000, GA, 7.0875, inf, 0,1
5, 9, 3.0000, BB_DP, 0.3869, 1.0000, 3462,1
5, 9, 3.0000, PDP, 0.1699, 1.0000, 0,1
5, 9, 3.0000, TABU, 3.2518, 1.0000, 0,1
5, 9, 3.0000, GA, 6.7811, inf, 0,1
5, 9, 3.0000, BB_DP, 0.0037, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.2255, 1.0000, 0,1
5, 9, 3.0000, TABU, 3.2316, 1.0000, 0,1
5, 9, 3.0000, GA, 7.6727, inf, 0,1
5, 9, 3.0000, BB_DP, 0.8655, 1.0000, 17423,1
5, 9, 3.0000, PDP, 0.2708, 1.0000, 0,1
5, 9, 3.0000, TABU, 3.0530, 2.0000, 0,1
5, 9, 3.0000, GA, 11.8866, 2.0000, 0,1
5, 9, 3.0000, BB_DP, 0.0051, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.2747, 1.0000, 0,1
5, 9, 3.0000, TABU, 6.7986, 1.0000, 0,1
5, 9, 3.0000, GA, 10.6543, inf, 0,1
5, 9, 3.0000, BB_DP, 0.6938, 1.0000, 6295,1
5, 9, 3.0000, PDP, 0.2503, 1.0000, 0,1
5, 9, 3.0000, TABU, 5.4478, inf, 0,1
5, 9, 3.0000, GA, 15.2938, inf, 0,1
5, 9, 3.0000, BB_DP, 0.5103, 1.0000, 2251,1
5, 9, 3.0000, PDP, 0.2387, 1.0000, 0,1
5, 9, 3.0000, TABU, 4.7352, 1.0000, 0,1
5, 9, 3.0000, GA, 16.1898, 3.0000, 0,1
5, 9, 3.0000, BB_DP, 0.0031, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.2397, 1.0000, 0,1
5, 9, 3.0000, TABU, 3.1675, 1.0000, 0,1
5, 9, 3.0000, GA, 13.2094, 1.0000, 0,1
5, 9, 3.0000, BB_DP, 0.0033, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.2397, 1.0000, 0,1
5, 9, 3.0000, TABU, 5.5436, 1.0000, 0,1
5, 9, 3.0000, GA, 10.5129, 1.0000, 0,1
5, 9, 3.0000, BB_DP, 0.0046, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.2486, 1.0000, 0,1
5, 9, 3.0000, TABU, 6.6398, 1.0000, 0,1
5, 9, 3.0000, GA, 10.1459, 1.0000, 0,1
5, 9, 3.0000, BB_DP, 0.0050, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.2546, 1.0000, 0,1
5, 9, 3.0000, TABU, 5.5130, inf, 0,1
5, 9, 3.0000, GA, 10.2076, inf, 0,1
5, 9, 3.0000, BB_DP, 2.7659, 1.0000, 27722,1
5, 9, 3.0000, PDP, 0.2649, 1.0000, 0,1
5, 9, 3.0000, TABU, 3.2899, inf, 0,1
5, 9, 3.0000, GA, 11.6021, inf, 0,1
5, 9, 3.0000, BB_DP, 0.2475, 1.0000, 1191,1
5, 9, 3.0000, PDP, 0.2535, 1.0000, 0,1
5, 9, 3.0000, TABU, 3.6908, inf, 0,1
5, 9, 3.0000, GA, 9.9211, inf, 0,1
5, 9, 3.0000, BB_DP, 0.0040, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.2805, 1.0000, 0,1
5, 9, 3.0000, TABU, 5.8142, 1.0000, 0,1
5, 9, 3.0000, GA, 11.0415, 1.0000, 0,1
5, 9, 3.0000, BB_DP, 0.0050, 1.0000, 0,1
5, 9, 3.0000, PDP, 0.2715, 1.0000, 0,1
5, 9, 3.0000, TABU, 5.0711, 1.0000, 0,1
5, 9, 3.0000, GA, 14.5506, 1.0000, 0,1
5, 9, 3.0000, BB_DP, 0.8419, 1.0000, 4653,1
5, 9, 3.0000, PDP, 0.2566, 1.0000, 0,1
5, 9, 3.0000, TABU, 3.4626, inf, 0,1
5, 9, 3.0000, GA, 10.9478, inf, 0,1
5, 9, 5.0000, BB_DP, 0.3382, 1.0000, 1923,1
5, 9, 5.0000, PDP, 0.3211, 1.0000, 0,1
5, 9, 5.0000, TABU, 10.3610, inf, 0,1
5, 9, 5.0000, GA, 18.7538, inf, 0,1
5, 9, 5.0000, BB_DP, 0.0036, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.3175, 1.0000, 0,1
5, 9, 5.0000, TABU, 6.6194, 1.0000, 0,1
5, 9, 5.0000, GA, 17.1953, 1.0000, 0,1
5, 9, 5.0000, BB_DP, 0.0051, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.3511, 1.0000, 0,1
5, 9, 5.0000, TABU, 4.5431, 1.0000, 0,1
5, 9, 5.0000, GA, 22.0282, 1.0000, 0,1
5, 9, 5.0000, BB_DP, 1.3051, 1.0000, 6402,1
5, 9, 5.0000, PDP, 0.2655, 1.0000, 0,1
5, 9, 5.0000, TABU, 2.8766, inf, 0,1
5, 9, 5.0000, GA, 9.4472, inf, 0,1
5, 9, 5.0000, BB_DP, 0.0030, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.2188, 1.0000, 0,1
5, 9, 5.0000, TABU, 2.9769, 1.0000, 0,1
5, 9, 5.0000, GA, 9.8093, 1.0000, 0,1
5, 9, 5.0000, BB_DP, 0.0042, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.1975, 1.0000, 0,1
5, 9, 5.0000, TABU, 3.1423, 1.0000, 0,1
5, 9, 5.0000, GA, 8.8954, inf, 0,1
5, 9, 5.0000, BB_DP, 0.0024, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.1917, 1.0000, 0,1
5, 9, 5.0000, TABU, 2.6100, 1.0000, 0,1
5, 9, 5.0000, GA, 8.2328, 1.0000, 0,1
5, 9, 5.0000, BB_DP, 0.0037, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.1898, 1.0000, 0,1
5, 9, 5.0000, TABU, 3.5950, 1.0000, 0,1
5, 9, 5.0000, GA, 8.0459, inf, 0,1
5, 9, 5.0000, BB_DP, 0.0023, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.1834, 1.0000, 0,1
5, 9, 5.0000, TABU, 4.1722, 1.0000, 0,1
5, 9, 5.0000, GA, 8.0049, 1.0000, 0,1
5, 9, 5.0000, BB_DP, 0.0022, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.1819, 1.0000, 0,1
5, 9, 5.0000, TABU, 4.8634, 1.0000, 0,1
5, 9, 5.0000, GA, 7.5275, 1.0000, 0,1
5, 9, 5.0000, BB_DP, 0.6103, 1.0000, 7572,1
5, 9, 5.0000, PDP, 0.1858, 1.0000, 0,1
5, 9, 5.0000, TABU, 3.9921, 1.5000, 0,1
5, 9, 5.0000, GA, 7.2039, 2.0000, 0,1
5, 9, 5.0000, BB_DP, 0.0023, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.1838, 1.0000, 0,1
5, 9, 5.0000, TABU, 2.2725, 1.0000, 0,1
5, 9, 5.0000, GA, 8.4046, 1.0000, 0,1
5, 9, 5.0000, BB_DP, 0.0022, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.1831, 1.0000, 0,1
5, 9, 5.0000, TABU, 2.2280, 1.0000, 0,1
5, 9, 5.0000, GA, 7.2300, 1.0000, 0,1
5, 9, 5.0000, BB_DP, 0.0022, 1.0000, 0,1
5, 9, 5.0000, PDP, 0.1793, 1.0000, 0,1
5, 9, 5.0000, TABU, 2.1828, 1.0000, 0,1
5, 9, 5.0000, GA, 8.3622, 1.0000, 0,1
5, 9, 5.0000, BB_DP, 0.5449, 1.0000, 6144,1
5, 9, 5.0000, PDP, 0.1828, 1.0000, 0,1
5, 9, 5.0000, TABU, 3.9279, inf, 0,1
