M, N, B, Name, Result, Time
4, 10, 3.000000, BB_DP, 6.000000, 29.330900
4, 10, 3.000000, DPm, 6.000000, 0.199100
4, 10, 3.000000, PDP, 6.000000, 214.206800
4, 10, 3.000000, BB_DP, 14.000000, 65.838300
4, 10, 3.000000, DPm, 13.000000, 0.202300
4, 10, 3.000000, PDP, 13.000000, 236.781600
4, 10, 3.000000, BB_DP, 7.000000, 76.877600
4, 10, 3.000000, DPm, 7.000000, 0.255900
4, 10, 3.000000, PDP, 7.000000, 233.573700
4, 10, 3.000000, BB_DP, 5.000000, 72.213400
4, 10, 3.000000, DPm, 5.000000, 0.249300
4, 10, 3.000000, PDP, 5.000000, 203.868800
4, 10, 3.000000, BB_DP, 5.000000, 28.551800
4, 10, 3.000000, DPm, 5.000000, 0.144600
4, 10, 3.000000, PDP, 5.000000, 204.275700
4, 10, 5.000000, BB_DP, 3.000000, 37.307100
4, 10, 5.000000, DPm, 3.000000, 0.138900
4, 10, 5.000000, PDP, 3.000000, 260.435100
4, 10, 5.000000, BB_DP, 5.000000, 37.026400
4, 10, 5.000000, DPm, 5.000000, 0.113100
4, 10, 5.000000, PDP, 5.000000, 155.357600
4, 10, 5.000000, BB_DP, 11.000000, 43.115200
4, 10, 5.000000, DPm, 11.000000, 0.122000
4, 10, 5.000000, PDP, 11.000000, 147.079500
4, 10, 5.000000, BB_DP, 8.000000, 34.793100
4, 10, 5.000000, DPm, 8.000000, 0.141300
4, 10, 5.000000, PDP, 8.000000, 152.326700
4, 10, 5.000000, BB_DP, 13.000000, 100.370500
4, 10, 5.000000, DPm, 13.000000, 0.114500
4, 10, 5.000000, PDP, 13.000000, 147.683100
4, 10, 7.000000, BB_DP, 3.000000, 29.675400
4, 10, 7.000000, DPm, 3.000000, 0.107600
4, 10, 7.000000, PDP, 3.000000, 155.165500
